Week Number,8h avg CO (ppm),Avg 1h NO2 (ppb),Avg 8h O3 (ppm),Avg PM10 (ug/m3 SC), Avg PM2.5 (ug/m3 LC),Avg 1h SO2 (ppb),"PRCP (inches, weekly sum)","SNOW (inches, weekly sum)","TAVG (°F, weekly mean)","TMAX (°F, weekly mean)","TMIN (°F, weekly mean)","Avg_WND (mph, weekly mean)","Max Wind Speed (mph, weekly mean)",Asthma_weekly_ER_Admissions,# COPD cases (weekly total),# Heart disease ER visits (weekly total),ILI_Weekly_ER_Admissions,Respiratory_Weekly_ER_Admissions,# stroke hospital discharges (weekly total)
1,0.371142857,21.926,0.029,12.349,8.897,2.374,0.896666667,0.883333333,22.8452381,32.38095238,13.26190476,10.82833333,23.50238095,2210,2048.63959,630.895929,2931,6646,667.0040263
2,0.407857143,27.669,0.029,15.722,10.48,4.196,0.4,3.8,13.76190476,23.92857143,3.619047619,9.021904762,19.8952381,4815,2000.220755,615.9849384,6074,8212,666.5117869
3,0.462,30.477,0.03,16.714,10.953,3.546,0.548333333,0.1,20.33333333,30.95238095,9.285714286,8.059047619,18.72380952,4686,1990.46159,612.9795207,5351,8599,665.5673538
4,0.361857143,29.379,0.032,13.322,10.145,3.081,0.343333333,3.783333333,18.64285714,26.42857143,10.71428571,8.728809524,18.85714286,4625,2035.924807,626.9803037,5168,8831,664.1844237
5,0.344285714,35.357,0.033,17.179,9.452,3.755,0.703333333,7,13.32142857,24.4047619,1.404761905,9.298809524,20.93095238,4507,1871.699979,629.934252,5717,8672,662.3830526
6,0.366857143,30.46,0.032,30.786,10.893,3.669,0.416666667,3.6,14.10714286,23.33333333,4.380952381,8.744761905,17.98571429,4547,1694.170139,613.5266345,6419,8806,660.1893649
7,0.414428571,34.525,0.034,20.119,10.289,4.829,0.155,3.783333333,6.035714286,17.02380952,-5.595238095,8.319761905,18.18095238,4638,1671.076422,605.1634779,7305,7985,657.6351748
8,0.425285714,34.753,0.034,14.274,10.507,5.512,0.208333333,1.583333333,10.91666667,21.73809524,-0.642857143,9.885,21.18571429,4771,1707.829861,618.4733655,6917,7298,654.7575245
9,0.465142857,42.722,0.037,18.429,11.268,4.269,0.393333333,2.366666667,16.41666667,26.78571429,5.714285714,8.07452381,19.68333333,4435,1723.40447,622.9918778,7172,7279,651.5981473
10,0.555428571,42.435,0.042,31.417,12.116,4.584,0.225,1.483333333,27.94047619,37.45238095,18.4047619,8.792857143,20.13809524,4793,1685.428175,608.4325777,7662,7471,648.2028623
11,0.342714286,31.055,0.04,17.905,5.608,2.999,0.276666667,0.033333333,31.57142857,40.05714286,24.29047619,9.124047619,21.03809524,4865,1656.125642,597.8544848,6971,8163,644.6209097
12,0.312571429,32.202,0.037,19.524,6.994,3.53,0.161666667,0.9,26.5,36.35714286,16.76190476,8.271904762,19.29047619,4858,1679.221354,606.1919411,7505,7486,640.9042371
13,0.329571429,31.299,0.037,18.46,5.418,2.102,0.525,0.85,33.0952381,40.9047619,25.16666667,8.127380952,18.92857143,4724,1720.609704,615.2144219,6492,7696,637.1067456
14,0.334857143,31.811,0.041,19.159,7.207,1.715,0.675,0.05,41.64285714,51.0952381,32.38095238,8.664761905,20.00714286,4693,1737.747493,586.3131787,6447,7263,633.2835086
15,0.342857143,31.94,0.043,10.036,5.37,1.86,0.405,0,48.58333333,60.04761905,36.97619048,9.832142857,22.36428571,4556,1696.52002,572.4030963,5162,7361,629.4899728
16,0.269857143,24.763,0.045,13.758,4.902,1.381,1.003333333,0,50.78571429,61.71428571,39.69047619,9.325714286,22.11666667,4458,1700.92574,573.889579,5246,7464,625.7811542
17,0.266428571,20.951,0.039,5.445,2.876,1.78,0.021666667,0,45.44047619,54.02380952,37.23809524,8.660714286,18.51190476,4819,1743.07426,588.110421,5404,7371,622.2108401
18,0.304714286,33.066,0.05,19.857,8.054,1.816,0.056666667,0,59.57142857,73.38095238,46.14285714,6.322142857,16.83809524,4825,1589.771744,589.772249,4430,7965,618.8308093
19,0.293857143,25.221,0.047,31.286,9.829,1.491,0.326666667,0,65.53571429,77.19047619,53.33333333,8.031666667,19.56428571,4258,1527.523893,576.2931052,3835,7266,615.6900806
20,0.319142857,26.455,0.044,25.262,7.83,1.394,0.138333333,0,60.57142857,72.19047619,48.47619048,7.12047619,17.55238095,4790,1512.969797,570.8022417,3862,7620,612.8342029
21,0.250428571,21.931,0.05,19,7.393,1.84,0.188333333,0,62.41666667,73.78571429,51.11904762,8.712857143,20.15714286,5147,1544.28986,582.6184471,3557,7817,610.3045935
22,0.228571429,17.653,0.034,14.5,4.456,0.992,1.735,0,61.01190476,71,50.97619048,7.909285714,17.70238095,4918,1543.815716,594.7111499,3798,7935,608.1379384
23,0.268142857,23.116,0.043,24.119,5.973,0.955,1.385,0,63.79761905,74.38095238,52.73809524,7.856666667,18.19047619,4178,1486.837114,589.1241394,3484,7436,606.3656594
24,0.296571429,21.981,0.04,22.619,8.993,1.155,1.806666667,0,68.3452381,77.23809524,59.9047619,6.034285714,16.43571429,4422,1457.451097,577.4806234,3129,7204,605.0134593
25,0.214285714,18.428,0.039,24.54,6.7,1.584,0.978333333,0,68.77380952,78.35714286,59.11904762,7.205952381,18.46904762,3967,1475.612654,584.676712,3177,6962,604.1009483
26,0.228142857,20.032,0.036,17.115,5.088,1.038,1.635,0,64.69047619,73,56.54761905,6.023809524,15.32619048,4017,1474.135251,592.7289896,3884,6691,603.6413602
27,0.285714286,23.096,0.042,20.571,11.061,1.104,0.451666667,0,68.91666667,78.92857143,58.5952381,5.32047619,14.75,3474,1258.12442,558.3810629,3921,6489,603.6413602
28,0.293714286,23.104,0.041,20.786,9.422,1.091,0.723333333,0,70.83333333,80.26190476,61.11904762,5.864047619,15.47142857,3430,1228.608453,545.2812797,3510,7067,604.1009483
29,0.247428571,19.665,0.042,20.107,7.442,1.495,0.72,0,71.61904762,81.26190476,62.30952381,6.438809524,16.7452381,3297,1228.608453,545.2812797,3372,6888,605.0134593
30,0.268285714,23.129,0.044,21.214,8.705,1.75,0.371666667,0,73.61904762,84.47619048,62.97619048,4.861190476,14.31904762,3641,1258.12442,558.3810629,3467,7661,606.3656594
31,0.214285714,21.276,0.042,17.675,6.738,1.676,0.991666667,0,73.03571429,82.14285714,63.5952381,7.598809524,19.04428571,3730,1206.118571,557.2696614,3377,6778,608.1379384
32,0.204714286,16.712,0.032,13.54,4.018,1.077,1.25,0,68.76190476,79.07142857,58.83333333,5.533095238,14.86190476,3695,1156.642095,543.48243,3481,7676,610.3045935
33,0.275571429,25.355,0.047,15.429,9.302,1.241,0.691666667,0,74.45238095,85.07142857,64.38095238,5.534047619,15.8547619,4055,1140.733845,536.0074691,3358,6884,612.8342029
34,0.227142857,16.649,0.039,14.69,5.055,0.922,0.78,0,71,80.19047619,61.64285714,6.262380952,15.7952381,3996,1160.917332,545.4912765,3220,6877,615.6900806
35,0.293571429,23.533,0.044,29.167,11.951,1.628,0.023333333,0,69.82142857,80.04761905,59.88095238,4.734761905,13.40714286,3635,1229.785884,563.9791969,3538,6786,618.8308093
36,0.295142857,20.702,0.047,26.5,12.736,1.545,0.48,0,75.04761905,86.19047619,64.26190476,5.539047619,16.22142857,3517,1330.477398,577.2441621,3190,6609,622.2108401
37,0.254714286,24.226,0.037,19.321,5.365,1.428,1.856666667,0,65.8452381,75.19047619,56.47619048,5.922142857,15.42619048,3296,1300.894604,564.4092993,2940,6671,625.7811542
38,0.269571429,25.559,0.045,19.857,6.607,1.495,0.126666667,0,64.14285714,76.21428571,52.0952381,5.001190476,14.67619048,4070,1310.901316,568.7508355,3251,7348,629.4899728
39,0.255571429,20.035,0.032,14.25,4.329,1.026,1.768333333,0,61.1547619,71.30952381,50.97619048,7.126190476,16.93095238,5106,1342.576082,582.4933266,3335,7044,633.2835086
40,0.231857143,15.516,0.025,8.643,3.209,1.263,0.266666667,0,52.1547619,60.76190476,44.04761905,8.202380952,16.98571429,5635,1892.687787,588.3636192,3651,7614,637.1067456
41,0.308,23.52,0.032,21.321,5.757,1.356,0.823333333,0,54.94047619,64.07142857,45.07142857,7.11,17.16666667,5334,1847.954815,574.4578639,3678,6716,640.9042371
42,0.288857143,23.496,0.032,20.214,5.436,1.657,0.295,0,46.1547619,55.23809524,37.19047619,7.504761905,19.18571429,5023,1838.938562,571.6550586,3483,7573,644.6209097
43,0.279142857,22.72,0.028,19.476,4.668,1.257,1.373333333,0,46.35714286,57.07142857,35.4047619,7.195238095,18.23095238,5171,1880.940911,584.7119687,3909,7103,648.2028623
44,0.446,29.543,0.03,25.238,7.541,1.592,0.441666667,0,49.53571429,59.88095238,38.95238095,6.86,18.38333333,5004,1800.787953,591.4054252,3749,7616,651.5981473
45,0.427,27.314,0.028,13.393,7.011,1.417,0.416666667,0,50.26190476,59.5952381,40.45238095,6.407380952,16.21428571,4919,1690.761408,579.8892432,4525,8030,654.7575245
46,0.325285714,22.952,0.029,10.536,5.669,1.686,0.448333333,0,44.01190476,52.5,35.5952381,9.49047619,20.94761905,5008,1663.017127,570.3736426,4890,8280,657.6351748
47,0.342857143,24.131,0.03,16.857,6.014,1.726,0.488333333,0,39.71428571,47.78571429,30.85714286,7.924761905,19.85,4994,1690.761408,579.8892432,5075,8675,660.1893649
48,0.387285714,21.847,0.026,13.714,6.646,1.287,0.73,0,40.08333333,48.07142857,31.80952381,7.358761905,15.93,4355,1767.136074,597.5193344,5348,8279,662.3830526
49,0.502857143,28.282,0.023,26.429,12.419,1.874,0.016666667,0,39.01190476,45.83333333,31.92857143,5.917619048,14.29047619,4909,1852.762021,605.8461362,6214,8520,664.1844237
50,0.419142857,25.558,0.023,32.071,12.186,1.75,0.363333333,0,47.95238095,54.5952381,41.02380952,8.031666667,18.59285714,4936,1811.388921,592.3172896,5646,9586,665.5673538
51,0.317428571,24.337,0.025,13.714,7.112,1.103,1.091666667,0.016666667,41.5952381,47.4047619,35.95238095,8.59047619,19.05952381,5204,1820.270099,595.2214012,7198,8904,666.5117869
52,0.352428571,21.025,0.026,9.536,6.927,1.288,1.283333333,0.516666667,38.52380952,45.73809524,30.97619048,8.095238095,18.30714286,4905,1864.332914,609.6297741,7141,10087,667.0040263
53,0.373,21.302,0.026,13.036,9.199,1.587,0.085,0.7,25.30952381,32.38095238,18.0952381,8.81952381,19.13809524,2244,1977.627009,637.061959,2976,6747,668.6864017
54,0.425285714,25.904,0.029,29.857,10.114,1.906,0.881666667,2.033333333,29.05952381,37.52380952,20.23809524,9.133571429,22.3452381,4887,1950.252491,626.7557042,6165,8335,668.5332081
55,0.301571429,25.413,0.03,11.79,8.999,1.742,0.273333333,1.85,22.94047619,30.28571429,15.4047619,8.552619048,19.16190476,4755,1931.670678,620.7840381,5430,8726,667.6501465
56,0.330142857,31.563,0.033,15.603,8.929,1.977,0.451666667,4.783333333,22.97619048,31.88095238,13.76190476,7.626904762,17.57857143,4693,1971.658288,633.6349191,5244,8960,666.3249643
57,0.352571429,32.159,0.031,21.536,8.972,2.364,0.585,0.1,36.27380952,45.5952381,27.54761905,8.856809524,20.95952381,4572,2026.507222,637.2629948,5799,8797,664.5768801
58,0.280571429,23.018,0.033,16.976,7.94,1.604,0.201666667,1.466666667,31.23809524,37.23809524,24.69047619,8.548809524,18.41904762,4612,2022.357855,617.8330929,6510,8931,662.4312455
59,0.277714286,23.563,0.033,20.131,7.41,1.903,1.165,3,13.08333333,24.26190476,1.666666667,8.798809524,19.52857143,4703,1985.866104,606.6848128,7407,8097,659.9191778
60,0.33,28.933,0.035,13.691,5.906,1.566,1.633333333,0.116666667,28.57142857,37.73809524,19.45238095,8.558571429,20.36190476,4837,2022.357855,617.8330929,7013,7399,657.0771084
61,0.228571429,20.437,0.038,12.714,6.024,2.059,0.371666667,0.433333333,29.65277778,39.08333333,20.52777778,11.56361111,24.75555556,4495,2086.781256,641.3438727,7270,7378,653.9462544
62,0.402142857,39.943,0.039,22.929,11.726,1.602,0.041666667,0.083333333,33.1547619,43.5952381,23.64285714,6.008333333,15.57857143,4857,2091.366113,647.7156951,7765,7571,650.5720214
63,0.334,27.303,0.036,16.968,4.786,1.203,0.765,0,45.5952381,54.07142857,36.85714286,7.562380952,18.6952381,4929,2048.950684,634.579239,7063,8271,647.0033442
64,0.293571429,25.949,0.041,13.08,5.592,0.936,0.196666667,0.116666667,36.54761905,45.92857143,26.95238095,8.33547619,20.38571429,4921,2068.660677,640.6836088,7603,7583,643.2919779
65,0.271285714,24.722,0.043,22.095,5.493,0.827,0.563333333,0,39.66666667,52.2047619,30.62857143,10.0502381,21.67857143,4785,2117.045388,655.6688072,6575,7795,639.4917467
66,0.233285714,23.105,0.04,14.714,4.682,0.762,0.758333333,1.75,38.3452381,47.0952381,29,10.65214286,23.80952381,4752,1762.787417,618.2875331,6528,7355,635.6577637
67,0.247571429,25.403,0.04,14.286,5.011,0.992,0.688333333,0.5,37.70238095,46.9047619,30.28095238,8.932142857,19.5,4613,1720.162223,603.3369916,5226,7452,631.8456314
68,0.304857143,34.545,0.051,30.536,6.231,1.371,0.041666667,0,49.9047619,64.0952381,35.47619048,6.503333333,16.05714286,4512,1715.706677,601.7742344,5310,7555,628.1106355
69,0.261714286,22.593,0.044,13.429,6.16,0.748,0.375,0,48.57142857,59.4047619,37.30952381,7.536190476,16.96428571,4877,1757.400408,616.3980708,5469,7459,624.506943
70,0.300142857,22.442,0.036,13.071,3.2,0.582,0.688333333,0,45.85714286,55.29047619,38.57142857,6.503333333,14.87142857,4882,1684.296457,636.4171359,4482,8059,621.0868167
71,0.305142857,26.631,0.044,22.714,5.081,0.733,0.268333333,0,52.64285714,64.04761905,41.0952381,7.557619048,18.53095238,4307,1614.620136,628.9612213,3879,7350,617.899857
72,0.265428571,24.038,0.041,17.214,4.559,0.611,0.378333333,0,54.04761905,65,42.80952381,9.12452381,21.01857143,4845,1592.412937,620.3106003,3906,7707,614.9922831
73,0.331571429,32.162,0.056,21.857,8.959,1.117,0.073333333,0,61.27380952,74.85714286,47.61904762,5.021666667,15.23095238,5205,1620.588174,631.2860187,3597,7905,612.4062622
74,0.293571429,22.407,0.05,20.857,8.252,0.756,0.523333333,0,72.51190476,84.11904762,61.28571429,6.567142857,16.96904762,4972,1604.278917,633.0288491,3840,8022,610.1792982
75,0.225285714,16.2,0.042,11.917,4.661,0.684,1.706666667,0,65.9047619,74.4047619,57.5,8.00952381,18.68809524,4223,1468.846831,600.1434592,3522,7516,608.3436878
76,0.241428571,22.882,0.04,18.548,5.258,0.986,0.183333333,0,60.61904762,71.71428571,49.42857143,8.244285714,19.03095238,4469,1436.187431,586.7994369,3162,7280,606.9260521
77,0.282571429,27.515,0.05,29.786,6.992,1.084,0.273333333,0,70.25,82.54761905,57,6.854285714,18.03571429,4008,1447.234839,591.3132021,3210,7034,605.9469503
78,0.238714286,22.08,0.047,18.567,6.635,0.959,0.808333333,0,70.07142857,81.92857143,58.07142857,5.795,15.53333333,4058,1482.203776,605.6008583,3924,6759,605.4205819
79,0.251857143,22.643,0.047,15.272,7.851,0.993,0.601666667,0,70.3452381,82,58.35714286,6.817380952,17.34047619,3509,1322.65976,597.2242847,3960,6554,605.3545807
80,0.253714286,21.324,0.04,18.964,5.257,0.576,0.991666667,0,70.5,81.52380952,63.15714286,6.934285714,16.48333333,3464,1291.399189,583.1091109,3544,7136,605.7499038
81,0.232714286,19.394,0.045,15.048,6.759,1.183,0.345,0,73.3452381,82.64285714,63.71428571,6.928333333,17.63809524,3329,1285.098395,580.2640957,3404,6954,606.600818
82,0.248142857,20.817,0.045,16.524,8.089,0.984,0.731666667,0,75.61904762,86.85714286,64.38095238,6.982380952,18.12380952,3675,1314.450736,593.5176409,3500,7733,607.894983
